date_num,date,best_ask_price,best_ask_size,best_bid_price,best_bid_size,ask_total_size,bid_total_size,ask_weighted_average_price,bid_weighted_average_price,best_mid_price,mid_weighted_average_price
1516573202.0,2018-01-21 22:20:02.000000,1226190,1000000,1225950,250000,1000000,250000,1226190.0,1225950.0,1226070.0,1226070.0
1516573202.0,2018-01-21 22:20:02.000000,1226190,1000000,1225990,1000000,1000000,1250000,1226190.0,1225982.0,1226090.0,1226086.0
1516573202.3,2018-01-21 22:20:02.300000,1226200,1000000,1225990,1000000,1000000,1250000,1226200.0,1225982.0,1226095.0,1226091.0
1516573202.3,2018-01-21 22:20:02.300000,1226200,1000000,1226000,1000000,1000000,1250000,1226200.0,1225990.0,1226100.0,1226095.0
1516573217.5,2018-01-21 22:20:17.500000,1227300,1000000,1225960,250000,1000000,1250000,1227300.0,1225080.0,1226630.0,1226190.0
1516573218.1,2018-01-21 22:20:18.100000,1226410,1000000,1225960,250000,2000000,1250000,1226855.0,1225080.0,1226185.0,1225967.5
1516573219.3,2018-01-21 22:20:19.300000,1226410,1000000,1224860,1000000,4000000,1000000,1226662.5,1224860.0,1225635.0,1225761.25
1516573219.3,2018-01-21 22:20:19.300000,1226410,1000000,1225950,250000,4000000,1250000,1226662.5,1225078.0,1226180.0,1225870.25
1516573227.1,2018-01-21 22:20:27.100000,1226410,1000000,1224860,1000000,4000000,1000000,1226662.5,1224860.0,1225635.0,1225761.25
1516573231.1,2018-01-21 22:20:31.100000,1226410,1000000,1225950,250000,4000000,1250000,1226662.5,1225078.0,1226180.0,1225870.25
1516573232.1,2018-01-21 22:20:32.100000,1226410,1000000,1224860,1000000,4000000,1000000,1226662.5,1224860.0,1225635.0,1225761.25
1516573232.1,2018-01-21 22:20:32.100000,1226410,1000000,1225940,250000,4000000,1250000,1226662.5,1225076.0,1226175.0,1225869.25
1516573232.1,2018-01-21 22:20:32.100000,1226410,1000000,1224860,1000000,4000000,1000000,1226662.5,1224860.0,1225635.0,1225761.25
1516573232.1,2018-01-21 22:20:32.100000,1226410,1000000,1225930,250000,4000000,1250000,1226662.5,1225074.0,1226170.0,1225868.25
1516573242.0,2018-01-21 22:20:42.000000,1226210,1000000,1226000,1000000,2000000,2250000,1226320.0,1225912.2222222222,1226105.0,1226116.111111111
1516573242.0,2018-01-21 22:20:42.000000,1226210,1000000,1226010,1000000,2000000,2250000,1226320.0,1225916.6666666667,1226110.0,1226118.3333333335
